category,concept_id,fi,score,lookback
Anaemia and haematinic deficiency,40389959,efi,1,1
Anaemia and haematinic deficiency,440218,efi,1,1
Anaemia and haematinic deficiency,4120450,efi,1,1
Anaemia and haematinic deficiency,4059188,efi,1,1
Anaemia and haematinic deficiency,4028718,efi,1,1
Anaemia and haematinic deficiency,4121109,efi,1,1
Anaemia and haematinic deficiency,4059187,efi,1,1
Anaemia and haematinic deficiency,434894,efi,1,1
Anaemia and haematinic deficiency,4146771,efi,1,1
Anaemia and haematinic deficiency,4098754,efi,1,1
Anaemia and haematinic deficiency,4231887,efi,1,1
Anaemia and haematinic deficiency,136949,efi,1,1
Anaemia and haematinic deficiency,4098760,efi,1,1
Anaemia and haematinic deficiency,40390425,efi,1,1
Anaemia and haematinic deficiency,4308125,efi,1,1
Anaemia and haematinic deficiency,4035316,efi,1,1
Anaemia and haematinic deficiency,40390408,efi,1,1
Anaemia and haematinic deficiency,4116343,efi,1,1
Anaemia and haematinic deficiency,40390052,efi,1,1
Anaemia and haematinic deficiency,4098017,efi,1,1
Arthritis,4058913,efi,1,3
Arthritis,4114439,efi,1,3
Arthritis,4116153,efi,1,3
Arthritis,4056705,efi,1,3
Arthritis,4114442,efi,1,3
Arthritis,4114441,efi,1,3
Arthritis,4116446,efi,1,3
Arthritis,72405,efi,1,3
Arthritis,4116149,efi,1,3
Arthritis,4035439,efi,1,3
Arthritis,74892,efi,1,3
Arthritis,4035427,efi,1,3
Arthritis,4286642,efi,1,3
Arthritis,40333249,efi,1,3
Arthritis,4145255,efi,1,3
Arthritis,4096347,efi,1,3
Arthritis,4101113,efi,1,3
Arthritis,4116444,efi,1,3
Arthritis,40263189,efi,1,3
Arthritis,4116445,efi,1,3
Arthritis,4200987,efi,1,3
Arthritis,4150319,efi,1,3
Arthritis,78230,efi,1,3
Arthritis,4116441,efi,1,3
Arthritis,4116439,efi,1,3
Arthritis,4079526,efi,1,3
Arthritis,4117686,efi,1,3
Arthritis,78227,efi,1,3
Arthritis,44794809,efi,1,3
Arthritis,4116142,efi,1,3
Arthritis,74125,efi,1,3
Arthritis,4116150,efi,1,3
Arthritis,4083556,efi,1,3
Arthritis,4077228,efi,1,3
Arthritis,4115161,efi,1,3
Arthritis,40302155,efi,1,3
Arthritis,4079749,efi,1,3
Arthritis,4117687,efi,1,3
Arthritis,4114444,efi,1,3
Arthritis,40357627,efi,1,3
Arthritis,40403943,efi,1,3
Arthritis,4138870,efi,1,3
Arthritis,80809,efi,1,3
Arthritis,4035611,efi,1,3
Arthritis,4201228,efi,1,3
Arthritis,4116152,efi,1,3
Arthritis,4058299,efi,1,3
Arthritis,4116151,efi,1,3
Arthritis,4147418,efi,1,3
Arthritis,4179378,efi,1,3
Arthritis,440674,efi,1,3
Arthritis,4227449,efi,1,3
Arthritis,40302156,efi,1,3
Arthritis,4078547,efi,1,3
Arthritis,4114440,efi,1,3
Arthritis,75617,efi,1,3
Arthritis,437082,efi,1,3
Arthritis,73553,efi,1,3
Arthritis,4078299,efi,1,3
Arthritis,4079750,efi,1,3
Arthritis,40400725,efi,1,3
Arthritis,4153359,efi,1,3
Arthritis,4060067,efi,1,3
Arthritis,4116442,efi,1,3
Arthritis,4167092,efi,1,3
Arthritis,4116443,efi,1,3
Arthritis,4291025,efi,1,3
Arthritis,40302157,efi,1,3
Arthritis,4116451,efi,1,3
Arthritis,80180,efi,1,3
Arthritis,40481048,efi,1,3
Arthritis,4116440,efi,1,3
Arthritis,4159739,efi,1,3
Atrial fibrillation,4117112,efi,1,1
Atrial fibrillation,44803652,efi,1,1
Atrial fibrillation,4119601,efi,1,1
Atrial fibrillation,4232697,efi,1,1
Atrial fibrillation,44790918,efi,1,1
Atrial fibrillation,44803909,efi,1,1
Atrial fibrillation,313217,efi,1,1
Atrial fibrillation,35609719,efi,1,1
Atrial fibrillation,4061098,efi,1,1
Atrial fibrillation,42536433,efi,1,1
Atrial fibrillation,40345197,efi,1,1
Atrial fibrillation,4229700,efi,1,1
Atrial fibrillation,4199501,efi,1,1
Atrial fibrillation,44803842,efi,1,1
Atrial fibrillation,4065288,efi,1,1
Atrial fibrillation,4232691,efi,1,1
Atrial fibrillation,44792469,efi,1,1
Atrial fibrillation,4047554,efi,1,1
Atrial fibrillation,40302105,efi,1,1
Atrial fibrillation,4020234,efi,1,1
Atrial fibrillation,314665,efi,1,1
Atrial fibrillation,4154290,efi,1,1
Atrial fibrillation,4108832,efi,1,1
Atrial fibrillation,4064452,efi,1,1
Atrial fibrillation,4194288,efi,1,1
Atrial fibrillation,4119602,efi,1,1
Atrial fibrillation,44806840,efi,1,1
Atrial fibrillation,35621770,efi,1,1
Atrial fibrillation,40333200,efi,1,1
Cerebrovascular disease,4136455,efi,1,3
Cerebrovascular disease,4111709,efi,1,3
Cerebrovascular disease,4017107,efi,1,3
Cerebrovascular disease,4090122,efi,1,3
Cerebrovascular disease,4143575,efi,1,3
Cerebrovascular disease,40345206,efi,1,3
Cerebrovascular disease,442615,efi,1,3
Cerebrovascular disease,4136546,efi,1,3
Cerebrovascular disease,4046093,efi,1,3
Cerebrovascular disease,4015738,efi,1,3
Cerebrovascular disease,4079008,efi,1,3
Cerebrovascular disease,40392729,efi,1,3
Cerebrovascular disease,40392702,efi,1,3
Cerebrovascular disease,40345207,efi,1,3
Cerebrovascular disease,373503,efi,1,3
Cerebrovascular disease,4196275,efi,1,3
Cerebrovascular disease,4112022,efi,1,3
Cerebrovascular disease,4212690,efi,1,3
Cerebrovascular disease,42872427,efi,1,3
Cerebrovascular disease,4045755,efi,1,3
Cerebrovascular disease,4215086,efi,1,3
Cerebrovascular disease,44810067,efi,1,3
Cerebrovascular disease,4217246,efi,1,3
Cerebrovascular disease,4006976,efi,1,3
Cerebrovascular disease,435959,efi,1,3
Cerebrovascular disease,4097325,efi,1,3
Cerebrovascular disease,4046363,efi,1,3
Cerebrovascular disease,4058289,efi,1,3
Cerebrovascular disease,4134162,efi,1,3
Cerebrovascular disease,42873157,efi,1,3
Cerebrovascular disease,44803688,efi,1,3
Cerebrovascular disease,316437,efi,1,3
Cerebrovascular disease,376713,efi,1,3
Cerebrovascular disease,4014781,efi,1,3
