"age_group","is_female","category","N","count","percent"
"[45,50)",1,"FtoThrive",205987,0,0
"[50,55)",0,"FtoThrive",194280,0,0
"[50,55)",1,"FtoThrive",206261,0,0
"[55,60)",0,"FtoThrive",179016,0,0
"[55,60)",1,"FtoThrive",184086,0,0
"[60,65)",0,"FtoThrive",168743,0,0
"[60,65)",1,"FtoThrive",172071,0,0
"[65,70)",0,"FtoThrive",164314,0,0
"[65,70)",1,"FtoThrive",167680,0,0
"[70,75)",0,"FtoThrive",132931,0,0
"[70,75)",1,"FtoThrive",141998,0,0
"[75,80)",0,"FtoThrive",105409,0,0
"[75,80)",1,"FtoThrive",120512,0,0
"[80,120]",0,"FtoThrive",151034,0,0
"[80,120]",1,"FtoThrive",232841,0,0
"[40,45)",0,"GaitAb",172517,68,0.000394164053397636
"[40,45)",1,"GaitAb",187351,84,0.000448356293801474
"[45,50)",0,"GaitAb",191647,104,0.00054266437773615
"[45,50)",1,"GaitAb",205987,107,0.000519450256569589
"[50,55)",0,"GaitAb",194280,159,0.000818406423718345
"[50,55)",1,"GaitAb",206261,138,0.000669055226145515
"[55,60)",0,"GaitAb",179016,176,0.000983152343924565
"[55,60)",1,"GaitAb",184086,148,0.000803972056538792
"[60,65)",0,"GaitAb",168743,200,0.00118523435046195
"[60,65)",1,"GaitAb",172071,158,0.000918225616170069
"[65,70)",0,"GaitAb",164314,247,0.00150321944569544
"[65,70)",1,"GaitAb",167680,174,0.00103769083969466
"[70,75)",0,"GaitAb",132931,268,0.00201608353205799
"[70,75)",1,"GaitAb",141998,243,0.00171129170833392
"[75,80)",0,"GaitAb",105409,313,0.00296938591581364
"[75,80)",1,"GaitAb",120512,270,0.00224044078597982
"[80,120]",0,"GaitAb",151034,666,0.00440960313571779
"[80,120]",1,"GaitAb",232841,626,0.00268852994103272
"[40,45)",0,"HF",172517,140,0.000811514227583369
"[40,45)",1,"HF",187351,60,0.000320254495572482
"[45,50)",0,"HF",191647,267,0.00139318643130339
"[45,50)",1,"HF",205987,99,0.000480612854209246
"[50,55)",0,"HF",194280,478,0.0024603664813671
"[50,55)",1,"HF",206261,180,0.000872680729755019
"[55,60)",0,"HF",179016,774,0.0043236358761228
"[55,60)",1,"HF",184086,314,0.0017057244983323
"[60,65)",0,"HF",168743,1102,0.00653064127104532
"[60,65)",1,"HF",172071,430,0.00249896844907044
"[65,70)",0,"HF",164314,1596,0.00971311026449359
"[65,70)",1,"HF",167680,759,0.00452647900763359
"[70,75)",0,"HF",132931,2101,0.015805192167365
"[70,75)",1,"HF",141998,1219,0.00858462795250637
"[75,80)",0,"HF",105409,2623,0.024884023185876
"[75,80)",1,"HF",120512,1757,0.0145794609665428
"[80,120]",0,"HF",151034,6475,0.0428711415972562
"[80,120]",1,"HF",232841,7054,0.0302953517636499
"[40,45)",0,"HTN",172517,3695,0.0214181790780039
"[40,45)",1,"HTN",187351,2671,0.0142566626279016
"[45,50)",0,"HTN",191647,6548,0.0341669840905415
"[45,50)",1,"HTN",205987,4957,0.0240646254375276
"[50,55)",0,"HTN",194280,8754,0.0450586781964175
"[50,55)",1,"HTN",206261,6870,0.0333073145189832
"[55,60)",0,"HTN",179016,9471,0.0529058855074407
"[55,60)",1,"HTN",184086,7160,0.0388948643568767
"[60,65)",0,"HTN",168743,9776,0.0579342550505799
"[60,65)",1,"HTN",172071,7598,0.0441561913396214
"[65,70)",0,"HTN",164314,9267,0.0563981158026705
"[65,70)",1,"HTN",167680,8270,0.0493201335877863
"[70,75)",0,"HTN",132931,6670,0.0501764073090551
"[70,75)",1,"HTN",141998,7661,0.0539514641051282
"[75,80)",0,"HTN",105409,4525,0.0429280232238234
"[75,80)",1,"HTN",120512,6280,0.0521109930961232
"[80,120]",0,"HTN",151034,4919,0.0325688255624561
"[80,120]",1,"HTN",232841,9167,0.0393702140087012
"[40,45)",0,"Hearing",172517,1451,0.00841076531588191
