"age_group","is_female","category","N","count","percent"
"[50,55)",0,"Muscular",9542,103,0.0107943827289876
"[50,55)",1,"Muscular",16444,208,0.0126489905132571
"[55,60)",0,"Muscular",12063,139,0.0115228384315676
"[55,60)",1,"Muscular",19021,273,0.0143525576993849
"[60,65)",0,"Muscular",12801,156,0.0121865479259433
"[60,65)",1,"Muscular",18803,243,0.012923469659097
"[65,70)",0,"Muscular",12266,176,0.0143486059024947
"[65,70)",1,"Muscular",17867,246,0.0137683998432865
"[70,75)",0,"Muscular",11053,162,0.0146566543019995
"[70,75)",1,"Muscular",14077,195,0.0138523833203097
"[75,80)",0,"Muscular",7352,128,0.0174102285092492
"[75,80)",1,"Muscular",8225,142,0.0172644376899696
"[80,100]",0,"Muscular",5447,111,0.0203781898292638
"[80,100]",1,"Muscular",5778,120,0.0207684319833853
"[40,45)",0,"Osteo",6510,97,0.014900153609831
"[40,45)",1,"Osteo",13069,202,0.0154564235978269
"[45,50)",0,"Osteo",7521,134,0.0178167796835527
"[45,50)",1,"Osteo",13729,271,0.0197392381091121
"[50,55)",0,"Osteo",9542,192,0.0201215678054915
"[50,55)",1,"Osteo",16444,539,0.0327779129165653
"[55,60)",0,"Osteo",12063,281,0.0232943712177734
"[55,60)",1,"Osteo",19021,1105,0.0580936859260817
"[60,65)",0,"Osteo",12801,376,0.0293727052574018
"[60,65)",1,"Osteo",18803,1816,0.096580332925597
"[65,70)",0,"Osteo",12266,422,0.0344040436980271
"[65,70)",1,"Osteo",17867,2863,0.160239547769631
"[70,75)",0,"Osteo",11053,453,0.0409843481407763
"[70,75)",1,"Osteo",14077,2982,0.211834908005967
"[75,80)",0,"Osteo",7352,365,0.0496463547334059
"[75,80)",1,"Osteo",8225,1929,0.234528875379939
"[80,100]",0,"Osteo",5447,404,0.0741692674866899
"[80,100]",1,"Osteo",5778,1665,0.28816199376947
"[40,45)",0,"PD",6510,54,0.00829493087557604
"[40,45)",1,"PD",13069,140,0.0107123727905731
"[45,50)",0,"PD",7521,98,0.0130301821566281
"[45,50)",1,"PD",13729,166,0.0120911938232938
"[50,55)",0,"PD",9542,138,0.014462376860197
"[50,55)",1,"PD",16444,220,0.013378739965945
"[55,60)",0,"PD",12063,210,0.0174086048246705
"[55,60)",1,"PD",19021,316,0.0166132169707166
"[60,65)",0,"PD",12801,308,0.0240606202640419
"[60,65)",1,"PD",18803,418,0.0222304951337553
"[65,70)",0,"PD",12266,409,0.0333442034893201
"[65,70)",1,"PD",17867,474,0.0265293557956008
"[70,75)",0,"PD",11053,477,0.0431557043336651
"[70,75)",1,"PD",14077,538,0.0382183703914186
"[75,80)",0,"PD",7352,398,0.0541349292709467
"[75,80)",1,"PD",8225,357,0.0434042553191489
"[80,100]",0,"PD",5447,294,0.0539746649531852
"[80,100]",1,"PD",5778,275,0.0475943232952579
"[40,45)",0,"PVD",6510,507,0.0778801843317972
"[40,45)",1,"PVD",13069,994,0.0760578468130691
