"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",56013,118,0.00210665381250781
"[40,45)",1,"AFIB",51133,33,0.000645375784718284
"[45,50)",0,"AFIB",55695,212,0.00380644582098932
"[45,50)",1,"AFIB",51791,79,0.00152536154930393
"[50,55)",0,"AFIB",57331,420,0.00732587954160925
"[50,55)",1,"AFIB",53487,165,0.00308486174210556
"[55,60)",0,"AFIB",51875,664,0.0128
"[55,60)",1,"AFIB",47915,245,0.00511322132943755
"[60,65)",0,"AFIB",46867,1068,0.0227878891330787
"[60,65)",1,"AFIB",44127,511,0.0115802116617944
"[65,70)",0,"AFIB",43054,1683,0.0390904445579969
"[65,70)",1,"AFIB",41032,773,0.0188389549619809
"[70,75)",0,"AFIB",36481,2215,0.0607165373756202
"[70,75)",1,"AFIB",37416,1340,0.0358135556980971
"[75,80)",0,"AFIB",29487,2531,0.0858344355139553
"[75,80)",1,"AFIB",31986,1983,0.0619958731945226
"[80,120]",0,"AFIB",43286,5590,0.12914106177517
"[80,120]",1,"AFIB",64444,6979,0.108295574452238
"[40,45)",0,"Anemia",56013,235,0.00419545462660454
"[40,45)",1,"Anemia",51133,1742,0.0340680186963409
"[45,50)",0,"Anemia",55695,345,0.00619445192566658
"[45,50)",1,"Anemia",51791,2104,0.0406248189839934
"[50,55)",0,"Anemia",57331,510,0.00889571087195409
"[50,55)",1,"Anemia",53487,1817,0.0339708714267018
"[55,60)",0,"Anemia",51875,621,0.0119710843373494
"[55,60)",1,"Anemia",47915,993,0.0207241991025775
"[60,65)",0,"Anemia",46867,852,0.0181791025668381
"[60,65)",1,"Anemia",44127,1013,0.0229564665624221
"[65,70)",0,"Anemia",43054,1124,0.0261067496632136
"[65,70)",1,"Anemia",41032,1176,0.0286605576135699
"[70,75)",0,"Anemia",36481,1470,0.040294948055152
"[70,75)",1,"Anemia",37416,1512,0.040410519563823
"[75,80)",0,"Anemia",29487,1783,0.0604673245837149
"[75,80)",1,"Anemia",31986,1833,0.0573063215156631
"[80,120]",0,"Anemia",43286,4202,0.0970752668299219
"[80,120]",1,"Anemia",64444,5522,0.0856867978399851
"[40,45)",0,"Anxiety",56013,1454,0.0259582596897149
"[40,45)",1,"Anxiety",51133,2372,0.0463888291318718
"[45,50)",0,"Anxiety",55695,1394,0.0250291767663165
"[45,50)",1,"Anxiety",51791,2289,0.0441968681817304
"[50,55)",0,"Anxiety",57331,1321,0.0230416354153948
"[50,55)",1,"Anxiety",53487,2188,0.0409071363134967
"[55,60)",0,"Anxiety",51875,959,0.0184867469879518
"[55,60)",1,"Anxiety",47915,1778,0.0371073776479182
"[60,65)",0,"Anxiety",46867,782,0.0166855143277786
"[60,65)",1,"Anxiety",44127,1496,0.0339021460783647
"[65,70)",0,"Anxiety",43054,640,0.0148650531890184
"[65,70)",1,"Anxiety",41032,1241,0.0302446870735036
"[70,75)",0,"Anxiety",36481,492,0.0134864724102958
