"age_group","is_female","category","N","count","percent"
"[40,45)",0,"AFIB",172517,151,0.000875276059750633
"[40,45)",1,"AFIB",187351,39,0.000208165422122113
"[45,50)",0,"AFIB",191647,328,0.00171147996055247
"[45,50)",1,"AFIB",205987,74,0.000359245971833174
"[50,55)",0,"AFIB",194280,541,0.0027846407247272
"[50,55)",1,"AFIB",206261,180,0.000872680729755019
"[55,60)",0,"AFIB",179016,800,0.00446887429056621
"[55,60)",1,"AFIB",184086,349,0.00189585302521647
"[60,65)",0,"AFIB",168743,1161,0.00688028540443159
"[60,65)",1,"AFIB",172071,508,0.00295226970262275
"[65,70)",0,"AFIB",164314,1702,0.0103582165853184
"[65,70)",1,"AFIB",167680,923,0.00550453244274809
"[70,75)",0,"AFIB",132931,2057,0.0154741933785197
"[70,75)",1,"AFIB",141998,1453,0.0102325384864576
"[75,80)",0,"AFIB",105409,2219,0.0210513333776053
"[75,80)",1,"AFIB",120512,1824,0.0151354221986192
"[80,120]",0,"AFIB",151034,4131,0.027351457287763
"[80,120]",1,"AFIB",232841,5331,0.0228954522614144
"[40,45)",0,"Anemia",172517,222,0.00128682970373934
"[40,45)",1,"Anemia",187351,1720,0.00918062887307781
"[45,50)",0,"Anemia",191647,338,0.00176365922764249
"[45,50)",1,"Anemia",205987,2177,0.0105686281173084
"[50,55)",0,"Anemia",194280,466,0.00239859995882232
"[50,55)",1,"Anemia",206261,1704,0.00826137757501418
"[55,60)",0,"Anemia",179016,648,0.00361978817535863
"[55,60)",1,"Anemia",184086,953,0.00517692817487479
"[60,65)",0,"Anemia",168743,933,0.00552911824490497
"[60,65)",1,"Anemia",172071,1049,0.00609632070482533
"[65,70)",0,"Anemia",164314,1298,0.00789950947575983
"[65,70)",1,"Anemia",167680,1390,0.00828959923664122
"[70,75)",0,"Anemia",132931,1594,0.0119911833958971
"[70,75)",1,"Anemia",141998,1740,0.012253693713996
"[75,80)",0,"Anemia",105409,1964,0.0186321851075335
"[75,80)",1,"Anemia",120512,2086,0.0173094795539033
"[80,120]",0,"Anemia",151034,4187,0.0277222347286042
"[80,120]",1,"Anemia",232841,5507,0.0236513328838134
"[40,45)",0,"Anxiety",172517,1559,0.00903679057716051
"[40,45)",1,"Anxiety",187351,2420,0.0129169313214234
"[45,50)",0,"Anxiety",191647,1438,0.00750337860754408
"[45,50)",1,"Anxiety",205987,2472,0.012000757329346
"[50,55)",0,"Anxiety",194280,1300,0.00669137327568458
"[50,55)",1,"Anxiety",206261,2117,0.0102636950271743
"[55,60)",0,"Anxiety",179016,991,0.00553581802743889
"[55,60)",1,"Anxiety",184086,1846,0.0100279217322338
"[60,65)",0,"Anxiety",168743,802,0.0047527897453524
"[60,65)",1,"Anxiety",172071,1485,0.00863015848109211
"[65,70)",0,"Anxiety",164314,583,0.00354808476453619
"[65,70)",1,"Anxiety",167680,1402,0.00836116412213741
"[70,75)",0,"Anxiety",132931,502,0.00377639527273548
"[70,75)",1,"Anxiety",141998,1150,0.00809870561557205
"[75,80)",0,"Anxiety",105409,409,0.00388012408807597
"[75,80)",1,"Anxiety",120512,1036,0.00859665427509294
"[80,120]",0,"Anxiety",151034,477,0.00315822927287895
"[80,120]",1,"Anxiety",232841,1569,0.00673850395763633
"[40,45)",0,"Arthritis",172517,2343,0.0135812702516274
"[40,45)",1,"Arthritis",187351,1206,0.00643711536100688
"[45,50)",0,"Arthritis",191647,3427,0.017881834831748
"[45,50)",1,"Arthritis",205987,2204,0.0106997043502745
"[50,55)",0,"Arthritis",194280,4778,0.0245933703932469
"[50,55)",1,"Arthritis",206261,3937,0.0190874668502528
"[55,60)",0,"Arthritis",179016,5609,0.0313323948697323
"[55,60)",1,"Arthritis",184086,5380,0.0292254707039101
"[60,65)",0,"Arthritis",168743,6731,0.0398890620647968
"[60,65)",1,"Arthritis",172071,6637,0.0385712874336756
"[65,70)",0,"Arthritis",164314,7369,0.044847061114695
"[65,70)",1,"Arthritis",167680,7717,0.0460221851145038
"[70,75)",0,"Arthritis",132931,6737,0.0506804281920696
"[70,75)",1,"Arthritis",141998,7865,0.0553881040578036
"[75,80)",0,"Arthritis",105409,6160,0.0584390327201662
"[75,80)",1,"Arthritis",120512,7774,0.0645080987785449
"[80,120]",0,"Arthritis",151034,8418,0.0557357945892978
"[80,120]",1,"Arthritis",232841,12839,0.0551406324487526
"[40,45)",0,"CAD",172517,290,0.00168099375713698
"[40,45)",1,"CAD",187351,88,0.000469706593506306
"[45,50)",0,"CAD",191647,648,0.00338121650743294
"[45,50)",1,"CAD",205987,193,0.000936952331943278
"[50,55)",0,"CAD",194280,1222,0.0062898908791435
"[50,55)",1,"CAD",206261,376,0.00182293307993271
"[55,60)",0,"CAD",179016,1565,0.00874223533092014
"[55,60)",1,"CAD",184086,463,0.00251512879849636
"[60,65)",0,"CAD",168743,1808,0.010714518528176
"[60,65)",1,"CAD",172071,644,0.00374264111907294
"[65,70)",0,"CAD",164314,1886,0.0114780237837311
"[65,70)",1,"CAD",167680,754,0.00449666030534351
"[70,75)",0,"CAD",132931,1735,0.0130518840601515
"[70,75)",1,"CAD",141998,954,0.00671840448457021
"[75,80)",0,"CAD",105409,1531,0.014524376476392
"[75,80)",1,"CAD",120512,1017,0.00843899362719065
"[80,120]",0,"CAD",151034,2568,0.0170027940728578
"[80,120]",1,"CAD",232841,2670,0.0114670526238936
"[40,45)",0,"CVA",172517,149,0.000863682999356585
"[40,45)",1,"CVA",187351,115,0.000613821116513923
"[45,50)",0,"CVA",191647,238,0.00124186655674234
"[45,50)",1,"CVA",205987,215,0.00104375518843422
"[50,55)",0,"CVA",194280,454,0.00233683343627754
"[50,55)",1,"CVA",206261,299,0.00144961965664862
"[55,60)",0,"CVA",179016,598,0.00334048353219824
"[55,60)",1,"CVA",184086,379,0.00205882033397434
"[60,65)",0,"CVA",168743,757,0.00448611201649846
"[60,65)",1,"CVA",172071,516,0.00299876213888453
"[65,70)",0,"CVA",164314,899,0.00547123190963643
"[65,70)",1,"CVA",167680,677,0.00403745229007634
"[70,75)",0,"CVA",132931,1023,0.00769572184065417
"[70,75)",1,"CVA",141998,838,0.00590149157030381
"[75,80)",0,"CVA",105409,1088,0.0103216992856397
"[75,80)",1,"CVA",120512,1040,0.00862984599044079
"[80,120]",0,"CVA",151034,2096,0.0138776699286253
"[80,120]",1,"CVA",232841,2968,0.0127468959504555
"[40,45)",0,"Cancer",172517,302,0.00175055211950127
"[40,45)",1,"Cancer",187351,370,0.00197490272269697
"[45,50)",0,"Cancer",191647,525,0.00273941152222576
"[45,50)",1,"Cancer",205987,692,0.00335943530416968
"[50,55)",0,"Cancer",194280,822,0.00423100679431748
"[50,55)",1,"Cancer",206261,1003,0.00486277095524602
"[55,60)",0,"Cancer",179016,1273,0.00711109621486348
"[55,60)",1,"Cancer",184086,1166,0.00633399606705562
"[60,65)",0,"Cancer",168743,1755,0.0104004314253036
"[60,65)",1,"Cancer",172071,1459,0.00847905806324134
"[65,70)",0,"Cancer",164314,2402,0.0146183526662366
"[65,70)",1,"Cancer",167680,1918,0.0114384541984733
"[70,75)",0,"Cancer",132931,2884,0.0216954660688628
"[70,75)",1,"Cancer",141998,2001,0.0140917477710954
"[75,80)",0,"Cancer",105409,3034,0.0287831209858741
"[75,80)",1,"Cancer",120512,2050,0.0170107541157727
"[80,120]",0,"Cancer",151034,5572,0.0368923553636929
"[80,120]",1,"Cancer",232841,4445,0.0190902804918378
"[40,45)",0,"Chronpain",172517,6276,0.036379023516523
"[40,45)",1,"Chronpain",187351,7633,0.0407417094117459
"[45,50)",0,"Chronpain",191647,6477,0.0337965112942024
"[45,50)",1,"Chronpain",205987,8411,0.0408326739066058
"[50,55)",0,"Chronpain",194280,6355,0.0327105208976735
"[50,55)",1,"Chronpain",206261,8418,0.0408123687948764
"[55,60)",0,"Chronpain",179016,5614,0.0313603253340484
"[55,60)",1,"Chronpain",184086,7303,0.0396716751952892
"[60,65)",0,"Chronpain",168743,5202,0.0308279454555152
"[60,65)",1,"Chronpain",172071,6396,0.0371707027912896
"[65,70)",0,"Chronpain",164314,4524,0.0275326509001059
"[65,70)",1,"Chronpain",167680,5998,0.0357705152671756
"[70,75)",0,"Chronpain",132931,3759,0.0282778283470372
"[70,75)",1,"Chronpain",141998,5429,0.0382329328582093
"[75,80)",0,"Chronpain",105409,3365,0.0319232703089869
"[75,80)",1,"Chronpain",120512,5073,0.0420953929899097
"[80,120]",0,"Chronpain",151034,4804,0.0318074076035859
"[80,120]",1,"Chronpain",232841,9113,0.0391382960904652
"[40,45)",0,"Dementia",172517,817,0.00473576517096866
"[40,45)",1,"Dementia",187351,499,0.00266344988817781
"[45,50)",0,"Dementia",191647,949,0.00495181244684237
"[45,50)",1,"Dementia",205987,625,0.00303417205940181
"[50,55)",0,"Dementia",194280,1074,0.00552810376775787
"[50,55)",1,"Dementia",206261,752,0.00364586615986541
"[55,60)",0,"Dementia",179016,1054,0.00588774187782098
"[55,60)",1,"Dementia",184086,865,0.00469889073585172
"[60,65)",0,"Dementia",168743,1093,0.00647730572527453
"[60,65)",1,"Dementia",172071,818,0.00475385160776656
"[65,70)",0,"Dementia",164314,1285,0.00782039266282849
"[65,70)",1,"Dementia",167680,1157,0.00690004770992366
"[70,75)",0,"Dementia",132931,1632,0.0122770459862636
"[70,75)",1,"Dementia",141998,1786,0.0125776419386189
"[75,80)",0,"Dementia",105409,2458,0.0233186919523001
"[75,80)",1,"Dementia",120512,2868,0.0237984599044079
"[80,120]",0,"Dementia",151034,6422,0.042520227233603
"[80,120]",1,"Dementia",232841,11132,0.0478094493667352
"[40,45)",0,"Depress",172517,2851,0.0165259075917156
"[40,45)",1,"Depress",187351,4435,0.0236721447977326
"[45,50)",0,"Depress",191647,3063,0.0159825095096714
"[45,50)",1,"Depress",205987,4481,0.0217537999970872
"[50,55)",0,"Depress",194280,2635,0.0135628989087914
"[50,55)",1,"Depress",206261,3994,0.0193638157480086
"[55,60)",0,"Depress",179016,2166,0.012099477141708
"[55,60)",1,"Depress",184086,3080,0.0167313103658073
"[60,65)",0,"Depress",168743,1541,0.00913223067030929
"[60,65)",1,"Depress",172071,2073,0.0120473525463326
"[65,70)",0,"Depress",164314,1025,0.00623805640420171
"[65,70)",1,"Depress",167680,1594,0.00950620229007634
"[70,75)",0,"Depress",132931,735,0.00552918431366649
"[70,75)",1,"Depress",141998,1233,0.00868322089043508
"[75,80)",0,"Depress",105409,629,0.00596723239951048
"[75,80)",1,"Depress",120512,1041,0.00863814391927775
"[80,120]",0,"Depress",151034,896,0.00593243905345816
"[80,120]",1,"Depress",232841,1699,0.0072968248719083
"[40,45)",0,"Diabetes",172517,1478,0.00856727163120156
"[40,45)",1,"Diabetes",187351,949,0.00506535860497142
"[45,50)",0,"Diabetes",191647,2385,0.0124447552009684
"[45,50)",1,"Diabetes",205987,1472,0.00714608203430314
"[50,55)",0,"Diabetes",194280,3288,0.0169240271772699
"[50,55)",1,"Diabetes",206261,2029,0.00983705111484963
"[55,60)",0,"Diabetes",179016,3883,0.0216907985878357
"[55,60)",1,"Diabetes",184086,2449,0.0133035646382669
"[60,65)",0,"Diabetes",168743,4010,0.023763948726762
"[60,65)",1,"Diabetes",172071,2573,0.0149531298126936
"[65,70)",0,"Diabetes",164314,4094,0.0249157101646847
"[65,70)",1,"Diabetes",167680,2786,0.0166149809160305
"[70,75)",0,"Diabetes",132931,3548,0.0266905387005288
"[70,75)",1,"Diabetes",141998,2710,0.0190847758419133
"[75,80)",0,"Diabetes",105409,2960,0.0280810936447552
"[75,80)",1,"Diabetes",120512,2529,0.0209854620286776
"[80,120]",0,"Diabetes",151034,3241,0.0214587443886807
"[80,120]",1,"Diabetes",232841,3714,0.0159507990431238
"[40,45)",0,"DuraMed",172517,0,0
"[40,45)",1,"DuraMed",187351,0,0
"[45,50)",0,"DuraMed",191647,0,0
"[45,50)",1,"DuraMed",205987,0,0
"[50,55)",0,"DuraMed",194280,0,0
"[50,55)",1,"DuraMed",206261,0,0
"[55,60)",0,"DuraMed",179016,0,0
"[55,60)",1,"DuraMed",184086,0,0
"[60,65)",0,"DuraMed",168743,0,0
"[60,65)",1,"DuraMed",172071,0,0
"[65,70)",0,"DuraMed",164314,0,0
"[65,70)",1,"DuraMed",167680,0,0
"[70,75)",0,"DuraMed",132931,0,0
"[70,75)",1,"DuraMed",141998,0,0
"[75,80)",0,"DuraMed",105409,0,0
"[75,80)",1,"DuraMed",120512,0,0
"[80,120]",0,"DuraMed",151034,0,0
"[80,120]",1,"DuraMed",232841,0,0
"[40,45)",0,"Falls",172517,674,0.00390686135279422
"[40,45)",1,"Falls",187351,943,0.00503333315541417
"[45,50)",0,"Falls",191647,785,0.00409607246656613
"[45,50)",1,"Falls",205987,1325,0.00643244476593183
"[50,55)",0,"Falls",194280,984,0.00506485484867202
"[50,55)",1,"Falls",206261,1698,0.00823228821735568
"[55,60)",0,"Falls",179016,1084,0.00605532466371721
"[55,60)",1,"Falls",184086,2070,0.0112447443042926
"[60,65)",0,"Falls",168743,1294,0.00766846624748878
"[60,65)",1,"Falls",172071,2315,0.0134537487432513
"[65,70)",0,"Falls",164314,1604,0.0097617975339898
"[65,70)",1,"Falls",167680,2655,0.0158337309160305
"[70,75)",0,"Falls",132931,2043,0.0153688755820689
"[70,75)",1,"Falls",141998,3422,0.0240989309708587
"[75,80)",0,"Falls",105409,2849,0.0270280526330769
"[75,80)",1,"Falls",120512,4781,0.0396723977695167
"[80,120]",0,"Falls",151034,9865,0.0653164188196035
"[80,120]",1,"Falls",232841,19509,0.0837867901271683
"[40,45)",0,"Fatigue",172517,2311,0.0133957812853226
"[40,45)",1,"Fatigue",187351,5535,0.0295434772165614
"[45,50)",0,"Fatigue",191647,2722,0.0142031965019019
"[45,50)",1,"Fatigue",205987,6103,0.0296280833256468
"[50,55)",0,"Fatigue",194280,2787,0.0143452748610253
"[50,55)",1,"Fatigue",206261,5729,0.0277754883375917
"[55,60)",0,"Fatigue",179016,2801,0.0156466461098449
"[55,60)",1,"Fatigue",184086,4707,0.0255695707441087
"[60,65)",0,"Fatigue",168743,2779,0.0164688312996687
"[60,65)",1,"Fatigue",172071,4275,0.0248443956273864
"[65,70)",0,"Fatigue",164314,2777,0.0169005684238714
"[65,70)",1,"Fatigue",167680,4228,0.0252146946564886
"[70,75)",0,"Fatigue",132931,2619,0.0197019506360443
"[70,75)",1,"Fatigue",141998,3917,0.0275848955619093
"[75,80)",0,"Fatigue",105409,2658,0.0252160631445133
"[75,80)",1,"Fatigue",120512,4137,0.034328531598513
"[80,120]",0,"Fatigue",151034,4985,0.0330058132605903
"[80,120]",1,"Fatigue",232841,9586,0.0411697252631624
"[40,45)",0,"FtoThrive",172517,0,0
"[40,45)",1,"FtoThrive",187351,0,0
"[45,50)",0,"FtoThrive",191647,0,0
"[45,50)",1,"FtoThrive",205987,0,0
"[50,55)",0,"FtoThrive",194280,0,0
"[50,55)",1,"FtoThrive",206261,0,0
"[55,60)",0,"FtoThrive",179016,0,0
"[55,60)",1,"FtoThrive",184086,0,0
"[60,65)",0,"FtoThrive",168743,0,0
"[60,65)",1,"FtoThrive",172071,0,0
"[65,70)",0,"FtoThrive",164314,0,0
"[65,70)",1,"FtoThrive",167680,0,0
"[70,75)",0,"FtoThrive",132931,0,0
"[70,75)",1,"FtoThrive",141998,0,0
"[75,80)",0,"FtoThrive",105409,0,0
"[75,80)",1,"FtoThrive",120512,0,0
"[80,120]",0,"FtoThrive",151034,0,0
"[80,120]",1,"FtoThrive",232841,0,0
"[40,45)",0,"GaitAb",172517,37,0.00021447161728989
"[40,45)",1,"GaitAb",187351,36,0.000192152697343489
"[45,50)",0,"GaitAb",191647,44,0.000229588775196064
"[45,50)",1,"GaitAb",205987,42,0.000203896362391801
"[50,55)",0,"GaitAb",194280,67,0.000344863084208359
"[50,55)",1,"GaitAb",206261,55,0.000266652445202923
"[55,60)",0,"GaitAb",179016,85,0.000474817893372659
"[55,60)",1,"GaitAb",184086,67,0.000363960322892561
"[60,65)",0,"GaitAb",168743,93,0.000551133972964805
"[60,65)",1,"GaitAb",172071,62,0.000360316381028761
"[65,70)",0,"GaitAb",164314,102,0.000620762686076658
"[65,70)",1,"GaitAb",167680,72,0.000429389312977099
"[70,75)",0,"GaitAb",132931,114,0.000857587771099292
"[70,75)",1,"GaitAb",141998,98,0.000690150565500923
"[75,80)",0,"GaitAb",105409,155,0.00147046267396522
"[75,80)",1,"GaitAb",120512,110,0.000912772172065852
"[80,120]",0,"GaitAb",151034,235,0.00155594104638691
"[80,120]",1,"GaitAb",232841,237,0.00101786197448044
"[40,45)",0,"HF",172517,76,0.000440536294973829
"[40,45)",1,"HF",187351,32,0.000170802397638657
"[45,50)",0,"HF",191647,153,0.000798342786477221
"[45,50)",1,"HF",205987,49,0.000237879089457102
"[50,55)",0,"HF",194280,261,0.00134342186534898
"[50,55)",1,"HF",206261,87,0.000421795686048259
"[55,60)",0,"HF",179016,374,0.0020891987308397
"[55,60)",1,"HF",184086,153,0.000831133274665102
"[60,65)",0,"HF",168743,564,0.00334236086830269
"[60,65)",1,"HF",172071,203,0.00117974557014256
"[65,70)",0,"HF",164314,756,0.0046009469673917
"[65,70)",1,"HF",167680,348,0.00207538167938931
"[70,75)",0,"HF",132931,1052,0.00791388013330224
"[70,75)",1,"HF",141998,640,0.00450710573388358
"[75,80)",0,"HF",105409,1306,0.0123898338851521
"[75,80)",1,"HF",120512,850,0.00705323951141795
"[80,120]",0,"HF",151034,3204,0.0212137664366964
"[80,120]",1,"HF",232841,3491,0.0149930639363342
"[40,45)",0,"HTN",172517,1906,0.0110481865555279
"[40,45)",1,"HTN",187351,1319,0.00704026132766839
"[45,50)",0,"HTN",191647,3216,0.0167808522961486
"[45,50)",1,"HTN",205987,2282,0.0110783690232879
"[50,55)",0,"HTN",194280,4145,0.0213351863290097
"[50,55)",1,"HTN",206261,3114,0.0150973766247618
"[55,60)",0,"HTN",179016,4344,0.0242659873977745
"[55,60)",1,"HTN",184086,3075,0.016704149147681
"[60,65)",0,"HTN",168743,4239,0.0251210420580409
"[60,65)",1,"HTN",172071,3246,0.0188643060132155
"[65,70)",0,"HTN",164314,3780,0.0230047348369585
"[65,70)",1,"HTN",167680,3468,0.0206822519083969
"[70,75)",0,"HTN",132931,2618,0.0196944279362978
"[70,75)",1,"HTN",141998,3151,0.0221904533866674
"[75,80)",0,"HTN",105409,1658,0.0157292071834473
"[75,80)",1,"HTN",120512,2439,0.020238648433351
"[80,120]",0,"HTN",151034,1578,0.0104479786008448
"[80,120]",1,"HTN",232841,3053,0.0131119519328641
"[40,45)",0,"Hearing",172517,647,0.00375035503747457
"[40,45)",1,"Hearing",187351,595,0.00317585708109378
"[45,50)",0,"Hearing",191647,794,0.00414303380694715
"[45,50)",1,"Hearing",205987,783,0.00380121075601858
"[50,55)",0,"Hearing",194280,987,0.00508029647930822
"[50,55)",1,"Hearing",206261,873,0.00423250153931184
"[55,60)",0,"Hearing",179016,1184,0.00661393395003799
"[55,60)",1,"Hearing",184086,1053,0.005720152537401
"[60,65)",0,"Hearing",168743,1561,0.00925075410535548
"[60,65)",1,"Hearing",172071,1229,0.00714240052071529
"[65,70)",0,"Hearing",164314,1980,0.0120500992003116
"[65,70)",1,"Hearing",167680,1560,0.00930343511450382
"[70,75)",0,"Hearing",132931,1775,0.0133527920500109
"[70,75)",1,"Hearing",141998,1674,0.0117888984351892
"[75,80)",0,"Hearing",105409,1761,0.0167063533474371
"[75,80)",1,"Hearing",120512,1747,0.0144964816781731
"[80,120]",0,"Hearing",151034,2952,0.0195452679529113
"[80,120]",1,"Hearing",232841,4434,0.0190430379529378
"[40,45)",0,"Incont",172517,165,0.00095642748250897
"[40,45)",1,"Incont",187351,871,0.00464902776072719
"[45,50)",0,"Incont",191647,234,0.00122099484990634
"[45,50)",1,"Incont",205987,1143,0.00554889386223402
"[50,55)",0,"Incont",194280,287,0.00147724933086267
"[50,55)",1,"Incont",206261,1409,0.00683115082347123
"[55,60)",0,"Incont",179016,336,0.00187692720203781
"[55,60)",1,"Incont",184086,1314,0.00713796812359441
"[60,65)",0,"Incont",168743,397,0.00235269018566696
"[60,65)",1,"Incont",172071,1265,0.00735161648389328
"[65,70)",0,"Incont",164314,536,0.00326204705624597
"[65,70)",1,"Incont",167680,1403,0.00836712786259542
"[70,75)",0,"Incont",132931,642,0.00482957323724338
"[70,75)",1,"Incont",141998,1524,0.0107325455288103
"[75,80)",0,"Incont",105409,881,0.0083579201016991
"[75,80)",1,"Incont",120512,1758,0.0145877588953797
"[80,120]",0,"Incont",151034,2301,0.0152349802031331
"[80,120]",1,"Incont",232841,4354,0.0186994558518474
"[40,45)",0,"Kidney",172517,257,0.00148970826063518
"[40,45)",1,"Kidney",187351,300,0.00160127247786241
"[45,50)",0,"Kidney",191647,444,0.00231675945879664
"[45,50)",1,"Kidney",205987,514,0.00249530310165205
"[50,55)",0,"Kidney",194280,615,0.00316553428042001
"[50,55)",1,"Kidney",206261,811,0.003931911510174
"[55,60)",0,"Kidney",179016,909,0.00507775841265585
"[55,60)",1,"Kidney",184086,1082,0.0058776876025336
"[60,65)",0,"Kidney",168743,1285,0.007615130701718
"[60,65)",1,"Kidney",172071,1604,0.00932173347048602
"[65,70)",0,"Kidney",164314,2217,0.0134924595591368
"[65,70)",1,"Kidney",167680,2288,0.0136450381679389
"[70,75)",0,"Kidney",132931,2764,0.0207927420992846
"[70,75)",1,"Kidney",141998,2999,0.0211200157748701
"[75,80)",0,"Kidney",105409,3187,0.0302346099479172
"[75,80)",1,"Kidney",120512,3735,0.0309927642060542
"[80,120]",0,"Kidney",151034,6435,0.042606300568084
"[80,120]",1,"Kidney",232841,9278,0.0398469341739642
"[40,45)",0,"Liver",172517,305,0.00176794171009234
"[40,45)",1,"Liver",187351,178,0.000950088336865029
"[45,50)",0,"Liver",191647,353,0.00184192812827751
"[45,50)",1,"Liver",205987,274,0.00133018103084175
"[50,55)",0,"Liver",194280,488,0.00251183858348775
"[50,55)",1,"Liver",206261,389,0.00188596002152612
"[55,60)",0,"Liver",179016,535,0.00298855968181615
