"age_group","n","percent_group"
"[40,45)","353147","0.116319713781574"
"[45,50)","390736","0.128700795091441"
"[50,55)","395711","0.130339462773917"
"[55,60)","359165","0.118301925261602"
"[60,65)","336935","0.110979798109554"
"[65,70)","328897","0.108332238143375"
"[70,75)","271880","0.089551953670665"
"[75,80)","223491","0.0736135636229608"
"[80,120]","376041","0.123860549544912"
"sample size","3036003",NA
"% female","1598166","0.526404618177255"
