"age_group","n","percent_group"
"[40,45)","12939","0.0624463084333163"
"[45,50)","25688","0.123975637300798"
"[50,55)","30010","0.144834509319408"
"[55,60)","35548","0.171562050559358"
"[60,65)","48759","0.235321087634289"
"[65,70)","43159","0.208294321483383"
"[70,75)","11099","0.0535660852694472"
"sample size","207202",NA
"% female","114384","0.552041003465218"
